,0
2638,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2639,"Іран збиває літаки інших країн, сидить під санкціями, божевільно аятолить, грає музику з музиками поза політикою. "
2640,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2641,Треба дарувати одразу і Берліну\n 
2642,На Буковині кількість випадків COVID-19 перевищила 6 тисяч\n 
2643,"1. Вагнерівці в Білорусі. 2. Військові навчання Ірану. 3. КНДР-Гонконг. 4. Політика Трампа. 5. COVID-19 накрив Іспанію. 6. Польща і Стамбульська конвенція. \nГості: О. Чабала, І. Семиволос, Н. Бутирська, С. Герасимчук. \n "
2644,В Україні зафіксовано 1172 нових випадків коронавірусної хвороби COVID-19 
2645,На Буковині за добу майже сотня нових випадків Covid-19 через @username 
2646,На Рівненщині виявили ще півсотні хворих на COVID-19 
2647,На Буковині за добу майже сотня нових випадків COVID-19 - 
2648,На Рівненщині виявили ще півсотні хворих на COVID-19 
2649,На Рівненщині виявили ще півсотні хворих на COVID-19 #followback #новини
2650,У Німеччині почали безкоштовне тестування на коронавірус під час повернення до країни\n #новости #ТСН #Німеччина #коронавірус #коронавирус #COVID19 #COVID2019
2651,На Буковині кількість випадків COVID-19 перевищила 6 тисяч\n 
2652,"Повідомили, яке місце посідає Україна за кількістю захворювань на Covid-19 \n \n #новини #новости"
2653,"МОЗ пояснило розділення України на зони\n\nРозподіл регіонів України на чотири зони карантину набуде чинності з 3 серпня\n\nВизначення рівня поширення COVID-19 в кожному конкретному регіоні відбувається автоматично, запевнив Максим Степанов.\n\nУ рішенні про п… "
2654,"ФРН почала безкоштовно тестувати на COVID-19 громадян, які приїхали з-за кордону "
2655,"Повідомили, яке місце посідає Україна за кількістю захворювань на Covid-19 \n \n #новини #новости"
2656,(ВООЗ: Пандемія COVID-19 досі загрозлива та триватиме ще довго) опубліковано на Allto Україна - головні новини - 
2657,"ФРН почала безкоштовно тестувати на COVID-19 громадян, які приїхали з-за кордону #followback #новини"
2658,"Влада Тернополя й Луцька опирається віднесенню міст до ""червоної"" зони карантину\n #новости #ТСН #карантин #Луцьк #Тернопіль #коронавірус"
2659,"ФРН почала безкоштовно тестувати на COVID-19 громадян, які приїхали з-за кордону  "
2660,"ФРН почала безкоштовно тестувати на COVID-19 громадян, які приїхали з-за кордону "
2661,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2662,Бажаю якнайшвидшого одужання Президенту Бразилії @username та бразильцям з діагнозом #COVID19. Україна підтримує Бразилію в боротьбі з масштабними наслідками пандемії. 
2663,"Мало на 17тис.грн ,треба на 34 тис.грн.Щоб зрозуміли,нарешті,ці ""торгаші"" що саме із-за таких кожного дня збільшується кількість захворілих на covid-19\n "
2664,Пандемія COVID-19 досі загрозлива: ВООЗ оголосила найвищий рівень тривоги\n\n#ZIK #ЗІК #новини #Україна #news #Ukraine\n 
2665,У світі COVID-19 заразилося понад 18 млн осіб: статистика на 2 серпня 
2666,У ВООЗ продовжують вважати COVID-19 загрозою охороні здоров'я в світовому масштабі\n 
2667,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2668,COVID-19 в Україні: за добу зафіксували понад тисячу нових випадків 
2669,У Криму окупанти занижують кількість випадків Covid-19 – правозахисники через @username 
2670,У Криму окупанти занижують кількість випадків Covid-19 – правозахисники через @username 
2671,"В той час як 40 млн американців стали безробітними під час епідемії коронвірусу, мільярдери збільшили свої статки на пів-трільона доларів. \n\nЦікавий факт, на який варто звернути увагу. Схоже, ті міль'ярди зросли не за рахунок благ, створених працею. "
2672,У Криму окупанти занижують кількість випадків Covid-19 – правозахисники #followback #новини
2673,Кількість інфікованих COVID-19 у світі перевищила 18 млн\n 
2674,У Казахстані зареєстровано 66 летальних випадків від COVID-19\n 
2675,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112\n "
2676,У трьох районах Чернігівщини досі не виявили жодного випадку COVID-19 – ОДА 
2677, ️В Україні 1112 нових випадків інфікування #covid19 
2678,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2679,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2680,У рамках ініціативи «Європейський альянс проти коронавірусу» Європейський альянс кластерів (ECA) щодня проводить вебінари. Вони відкриті для громадськості і обертаються навколо актуальних питань для кластерів під час кризи коронавірусу. 
2681,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112\n "
2682,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 #ukraine
2683,"Зеля нагнітає. Скоро осінь, місцеві вибори. "
2684,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112\n "
2685,В Україні знову зафіксували понад 1100 нових випадків COVID-19 
2686,За добу виявлено 1112 випадків COVID-19\n 
2687,В Україні лабораторно підтвердили ще 72 168 випадків COVID-19 
2688,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2689,На Буковині за добу майже сотня нових випадків COVID-19 • Портал АНТИКОР 
2690,В Україні 1112 випадків COVID-19 виявлені за минулу добу 
2691,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2692,#Пандемия: число случаев #COVID19 в мире превысило 18 млн 
2693,#Пандемия: число случаев #COVID19 в мире превысило 18 млн 
2694,МОЗ прогнозує близько 4 тисяч летальних випадків від COVID-19 
2695,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2696,В Україні за добу COVID-19 заразилися понад 1100 людей: статистика на 2 серпня 
2697,За добу на Дніпропетровщині зафіксували 8 нових випадків COVID-19 - 
2698,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112\n "
2699,В Україні коронавірусом інфікувалися понад 72 тисячі осіб: за добу виявили понад 1000 випадків \n #Україна #статистика #випадки #регіони
2700,"Найбільше нових випадків COVID-19 за добу виявили в Івано-Франківській, Львівській областях та Києві \n "
2701,У Криму окупанти занижують кількість випадків Covid-19 – правозахисники через @username 
2702,В Україні зафіксували 1 112 нових інфікованих COVID-19\n 
2703,За добу на Дніпропетровщині зафіксували 8 нових випадків COVID-19 - 
2704,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2705,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2706,"Найбільше нових випадків COVID-19 за добу виявили в Івано-Франківській, Львівській областях та Києві \n "
2707,На Вінниччині – 2790 випадків Covid-19 
2708,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2709,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2710,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2711,"Найбільше нових випадків COVID-19 за добу виявили в Івано-Франківській, Львівській областях та Києві \n "
2712,"Я думаю над тим, шо заходи із сповільнення поширенню пандемії також віддаляють її кінець. Якщо взяти за reference point 2 роки іспанського грипу 1918-1919 (смертність — 50 мільйонів), то 5 років — це ше дуже оптимістичний прогноз. \n "
2713,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2714,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2715,"Найбільше нових випадків COVID-19 за добу виявили в Івано-Франківській, Львівській областях та Києві \n "
2716,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2717,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2718,Металіст 1925 підтвердив 5 випадків зараження COVID-19\nЗараження торкнулося лише співробітників клубу \n\n 
2719,В Україні коронавірусом інфікувалися понад 72 тисячі осіб: за добу виявили понад 1000 випадків \n #Україна #статистика #випадки #регіони
2720,В Україні зафіксували 1 112 нових інфікованих COVID-19\n 
2721,В Україні зафіксували 1 112 нових інфікованих COVID-19\n 
2722,Київ серед лідерів з поширення Covid-19 через @username 
2723,На Рівненщині зареєстровано 46 нових випадків захворювання на COVID-19 
2724,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2725,Більше 1000 нових випадків COVID-19 – уже п'ятий день поспіль\n\n 
2726,Яка ситуація з Covid-19 у Києві \n \n #новини #новости
2727,На Рівненщині - 46 нових випадків COVID-19 - 
2728,Київ серед лідерів з поширення Covid-19 через @username 
2729,"грає ""парад алле"". "
2730,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2731,Київ серед лідерів з поширення Covid-19 через @username 
2732,"Найбільше нових випадків COVID-19 за добу виявили в Івано-Франківській, Львівській областях та Києві \n "
2733,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2734,В Україні за добу від COVID-19 померли 16 осіб 
2735,На Тернопільщині за добу підтверджено 51 випадок зараження вірусом COVID-19 
2736,Яка ситуація з Covid-19 у Києві \n \n #новини #новости
2737,Київ серед лідерів з поширення Covid-19 через @username 
2738,За добу виявлено 1112 випадків COVID-19\n 
2739,У Полтавській області 113 хворих на COVID-19 — за добу зафіксували 13 нових випадків 
2740,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2741,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2742,Влада в'єтнамського Дананга перевірить усе населення міста на COVID-19 
2743,На Рівненщині кількість випадків COVID-19 зросла до півсотні 
2744,У світі зафіксовано більше 18 млн заражень COVID-19 
2745,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2746,На Закарпатті від COVID-19 за добу знову померли люди\n 
2747,П'ятий день поспіль в Україні додається понад 1 тис. нових інфікованих COVID-19 
2748,Ляшко повідомив коли в Україні найактивніше поширюватиметься COVID-19 
2749,Київ серед лідерів з поширення Covid-19 через @username 
2750,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 2 серпня 
2751,"Знає,та мовчить. Чи не він його і розповсюджує ? "
2752,В Україні зафіксовано 1112 нових випадків COVID-19 - 
2753,На Тернопільщині за добу підтверджено 51 випадок зараження вірусом COVID-19 
2754,"Провали спецслужб Росії на тлі пандемії COVID-19\n інформаційний огляд, який вийшов на сайті часопису “Український Тиждень” 31 липня 2020. Огляд підготував засновник міжнародної волонтерської спільноти InformNapalm @username . "
2755,Офіційна інформація Міністерства охорони здоров'я України станом на 2 серпня 10:30\n\nЗа добу зафіксовано 1112 нових випадків.\n⠀\n#sumygo #sumy #coronavirus #covidukraine #coronavirusukraine 
2756,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2757,П'ятий день поспіль в Україні додається понад 1 тис. нових інфікованих COVID-19 
2758,У Києві за добу 110 нових випадків інфікування COVID-19\n 
2759,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 2 серпня 
2760,Ще 99 за добу та ще один летальний: в Одеській області підтверджені 3 тисячі 414 випадків COVID-19 
2761,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2762,На Тернопільщині за добу підтверджено 51 випадок зараження вірусом COVID-19 
2763,П'ятий день поспіль в Україні додається понад 1 тис. нових інфікованих COVID-19 
2764,Київ серед лідерів з поширення Covid-19 #followback #новини
2765,У Києві за добу 110 нових випадків інфікування COVID-19\n 
2766,В Україні п’ять днів поспіль діагностують понад 1000 нових інфікувань COVID-19 за добу\n 
2767,П'ятий день поспіль в Україні додається понад 1 тис. нових інфікованих COVID-19 
2768,"СOVID-19, економіка США і глобальна економіка.\nДолар впав у відношенні до євро до дворічного мінімуму через зростання побоювань, що продовження поширення COVID-19 в США та неефективні заходи протидії призведе до зменшення економічного відновлення. "
2769,П'ятий день поспіль в Україні додається понад 1 тис. нових інфікованих COVID-19 
2770,"Найбільше нових випадків COVID-19 за добу виявили в Івано-Франківській, Львівській областях та Києві \n "
2771,В Україні за добу зафіксували 1112 нових випадків COVID-19\n 
2772,З 3 серпня в області встановлюється «жовтий» рівень епідемічної небезпеки поширення COVID-19 
2773,В Україні п’ять днів поспіль діагностують понад 1000 нових інфікувань COVID-19 за добу\n 
2774,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2775,Мер Тернополя виступив проти внесення міста до «червоної» зони Covid-19 
2776,МОЗ спрогнозувало розвиток епідемії коронавірусу в Україні. У МОЗ прогнозують близько 4 тис. летальних випадків від Covid-19 
2777,Коронавірус у Львові. Актуальна статистика підтверджених випадків захворювання на Covid-19 
2778,В Україні зафіксовано 1112 нових випадків коронавірусної хвороби COVID-19 – 
2779,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2780,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 2 серпня 
2781,Чи накриє Україну друга хвиля COVID-19 
2782,"В Україні за минулу добу, 1 серпня, коронавірусне захворювання підтвердили у 1 112 людей. Також відомо, що 235 пацієнтів одужали, а 16 — померли від ускладнень. Загалом COVID-19 підтвердили у 72 168 людей\n "
2783,"В Україні 1 112 людей захворіли на Covid-19 за минулу добу, 235 одужали, 16 померли, 30,9 тис. випадків хвороби\n "
2784,"#COVID19 На 02.08 Сумщина має 529 випадків (+20 (!!!) за добу). Нова реальність? Перші дві декади липня ми прожили зі стабільними +5 за добу. \n\nВидужала 351 людина (+2 за добу): +1 м. Глухів, +1 м. Охтирка.\n\nПомерло 8 осіб (+0 за добу). \n\nПродовжують хворіти 170 осіб."
2785,"Робота вдома - це менше стресу й більше продуктивності. Це засвідчує опитування найманих працівників у Німеччині. Деякі компанії, як-то #Siemens, уже готуються до ""нової реальності"" після #COVID19. Її основою буде дистанційна робота. "
2786,В Україні зафіксували 1 112 нових інфікованих COVID-19\n 
2787,"За минулу добу на Тернопільщині підтвердили 51 новий випадок COVID-19 (По районах) з даними обласного лабораторного центру станом на 09:00 2 серпня на Тернопільщині 3086 випадків COVID-19, 39 – летальних, 1811 людей одужало. "
2788,На Тернопільщині 51 випадок зараження COVID-19 за добу 
2789,"#COVID19 На 02.08 Сумщина має 529 випадків (+20 (!!!) за добу). Нова реальність? Перші дві декади липня ми прожили зі стабільними +5 за добу. \n\nВидужала 351 людина (+2 за добу): +1 м. Глухів, +1 м. Охтирка.\n\nПомерло 8 осіб (+0 за добу). \n\nПродовжують хворіти 170 осіб."
2790,"За добу в Україні на COVID-19 захворіли 1112 осіб, 16 померли -- Степанов "
2791,"Отельеры хотят, чтобы туристы прилетали с результатами тестов на Covid-19 Confederación Española de Hoteles y Alojamientos Turísticos, CEHAT, призвала президента правительства Испании Pedro Sánchez потребовать от Европейского… "
2792,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2793,На Івано-Франківщині – найбільше нових випадків COVID-19 за добу #followback #новини
2794,COVID-19 в Україні: виявлено 1112 нових випадків 
2795,У ЗСУ зафіксували ще 23 випадки захворювання на COVID-19 
2796,"В той час як 40 млн американців стали безробітними під час епідемії коронвірусу, мільярдери збільшили свої статки на пів-трільона доларів. \n\nЦікавий факт, на який варто звернути увагу. Схоже, ті міль'ярди зросли не за рахунок благ, створених працею. "
2797,"Оперштаб огласил статистику по зараженным COVID-19 за последние сутки:\n Фото: Marijan Murat, dpa, Globallookpress "
2798,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2799,"Із 110 хворих на Covid-19 у Києві за добу 6 дітей, госпіталізовано 12 осіб\n "
2800,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2801,У Києві за добу 110 нових випадків інфікування COVID-19\n 
2802,"За добу в Україні на COVID-19 захворіли 1112 осіб, 16 померли -- Степанов "
2803,1112 нових випадків COVID-19 по Україні 
2804,На Львівщині від Covid-19 помер керівник одного з медзакладів 
2805,П'ятий день поспіль в Україні додається понад 1 тис. нових інфікованих COVID-19 
2806,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 2 серпня 
2807,"Перевірив - не фейк. В Берліні масова демонстрація без масок. Під гаслом ""ми друга хвиля"" протестують проти забов'язання носити маски в магазинах. Враження, що цього року нації вирішили позмагатись, яка дурніша. Прям якось приємно за зебілів стало. Вони, здається, ще не саме дно. "
2808,На Львівщині від Covid-19 помер керівник одного з медзакладів 
2809,Кількість інфікованих COVID-19 у світі з початку пандемії перевищила 18 млн\n 
2810,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 2 серпня 
2811,Новини про коронавірус в Україні: скільки хворих на Covid-19 станом на 2 серпня 
2812,"За минулу добу на Тернопільщині підтвердили 51 новий випадок COVID-19 (По районах)Згідно з даними обласного лабораторного центру станом на 09:00 2 серпня на Тернопільщині 3086 випадків COVID-19, 39 – летальних, 1811 людей одужало. "
2813,"В Україні підтвердили 72 168 випадків COVID-19, за добу - 1 112 "
2814,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2815,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2816,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2817,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2818,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2819,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2820,Епідемічна обстановка в ЗСУ: хворіє на COVID-19 196 осіб 
2821,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2822,В Україні зафіксували 1 112 нових інфікованих COVID-19\n 
2823,У світі зафіксували понад 18 мільйонів випадків COVID-19\n 
2824,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2825,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2826,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2827,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2828,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2829,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2830,"На COVID-19 хворіє лише 0,09 % населення Волині - "
2831,Пандемія COVID-19 в Україні. Інформація на ранок 2 серпня 
2832,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2833,Київ серед лідерів з поширення Covid-19 через @username
2834,В Україні п’ять днів поспіль діагностують понад 1000 нових інфікувань COVID-19 за добу\n 
2835,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2836,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2837,"В той час як 40 млн американців стали безробітними під час епідемії коронвірусу, мільярдери збільшили свої статки на пів-трільона доларів. \n\nЦікавий факт, на який варто звернути увагу. Схоже, ті міль'ярди зросли не за рахунок благ, створених працею. "
2838,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2839,Майже сотню нових випадків COVID-19 виявлено за добу на БуковиніЗагальна кількість захворівших на COVID-19 у Чернівецькій області перевалила за 6 тисяч. 
2840,За добу на Дніпропетровщині зафіксували 8 нових випадків COVID-19 - 
2841,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2842,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2843,В Україні зафіксовано 1 112 нових випадків коронавірусної хвороби COVID-19 
2844,Оперативная сводка по коронавирусу в Севастополе на 2 августа: #севастополь #коронавирус #covid19
2845,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
2846,"35 із 66 млрд Фонду боротьби з COVID19 підуть на дороги. На піку загострення епідемії замість мед.костюмів і ШВЛ уряд копатиме ями. Ціною чиїхось неврятованих життів влада демонструватиме «будівництва» напередодні місц виборів.\nЇх спікери кажуть, що коштів у Фонді просто забагато "
